162.159.195.201:8854,380 ms
162.159.195.213:968,382 ms
162.159.192.89:7281,383 ms
162.159.195.196:878,386 ms
162.159.195.151:4177,390 ms
162.159.192.50:7103,391 ms
162.159.192.136:4177,392 ms
162.159.195.57:859,419 ms
162.159.195.225:890,425 ms
162.159.195.81:859,451 ms
